date;plate_id;plate_name;sample_id;well_A01;well_01A;tissue_id;dna_person;notes;tissue_type;extraction
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G03;G03;03G;BGM-0145;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G04;G04;04G;BGM-0150;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G05;G05;05G;BGM-0151;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G06;G06;06G;BGM-0152;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G07;G07;07G;BGM-0155;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G08;G08;08G;BGM-0156;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G09;G09;09G;BGM-0157;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G10;G10;10G;BGM-0160;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G11;G11;11G;BGM-0161;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_G12;G12;12G;BLANK__G12;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H01;H01;01H;BGM-0162;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H02;H02;02H;BGM-0163;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H03;H03;03H;BGM-0164;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H04;H04;04H;BGM-0166;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H05;H05;05H;BGM-0167;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H06;H06;06H;BGM-0168;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H07;H07;07H;BGM-0169;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H08;H08;08H;BGM-0170;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H09;H09;09H;BGM-0171;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H10;H10;10H;BGM-0174;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H11;H11;11H;BGM-0179;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_H12;H12;12H;BLANK__H12;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A01;A01;01A;BGM-0184;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A02;A02;02A;BGM-0185;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A03;A03;03A;BGM-0186;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A04;A04;04A;BGM-0187;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A05;A05;05A;BGM-0188;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A06;A06;06A;BGM-0189;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A07;A07;07A;BGM-0190;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A08;A08;08A;BGM-0195;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A09;A09;09A;BGM-0199;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A10;A10;10A;BGM-0201;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A11;A11;11A;BGM-0202;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_A12;A12;12A;BGM-0204;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B01;B01;01B;BGM-0207;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B02;B02;02B;BGM-0208;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B03;B03;03B;BGM-0209;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B04;B04;04B;BGM-0210;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B05;B05;05B;BGM-0211;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B06;B06;06B;BGM-0212;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B07;B07;07B;BGM-0213;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B08;B08;08B;BGM-0214;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B09;B09;09B;BGM-0215;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B10;B10;10B;BGM-0220;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B11;B11;11B;BGM-0222;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_B12;B12;12B;BGM-0226;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C01;C01;01C;BGM-0235;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C02;C02;02C;BGM-0236;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C03;C03;03C;BGM-0237;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C04;C04;04C;BGM-0238;EMBRAPA;;Leaf;
